rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
1196,commettre,v,,to commit,vous avez commis presque tous les crimes informatiques,you have committed almost every computer crime,kɔmɛtʀ
1197,précisément,adv,,precisely,pouvez-vous nous parler plus précisément des personnes que vous suivez?,can you tell us more precisely about the people you track?,pʀesizemɑ͂
1198,soutien,nm,masculine,support,elle a manifestement bénéficié d’un large soutien,she clearly enjoyed widespread support,sutjɛ͂
1199,urgence,nf,feminine,emergency,prépare-toi pour un atterrissage d’urgence,prepare yourself for an emergency landing,yʀʒɑ͂s
1200,clé,nf,feminine,key,je ne trouve pas ma clé,I can’t find my key,kle
1201,enlever,v,,to remove,pouvez-vous enlever votre chapeau?,can you remove your hat?,ɑ͂lve
1202,jeter,v,,to throw,c’est moi qui ai jeté le caillou,I’m the one who threw the stone,ʒ(ə)te
1203,religieux,nadj(pl),masculine,religious,"il a l’âme religieuse, pourtant","still, he has a religious soul",ʀ(ə)liʒjø
1204,analyse,nf,feminine,analysis,je ne veux pas faire d’analyse,I don’t want to do any analysis,analiz
1205,disponible,adj(f),,available,j’utilise des outils disponibles sans restriction,I use any available tools without restriction,dispɔnibl
1206,regard,nm,masculine,"look, glance",elle ne posera jamais un regard vers moi,she will never turn her attention to me,ʀ(ə)gaʀ
1207,prévenir,v,,"to prevent, warn; to notify",je suis à deux doigts de prévenir la police,I’m within an inch of notifying the police,pʀev(ə)niʀ
1208,bientôt,adv,,soon,"bientôt, je vous connaîtrai mieux que vous- même",soon I will know you better than you do,bjɛ͂to
1209,analyser,v,,to analyse,il analyse aussi les échecs de la politique,he also analyzes political failures,analize
1210,mariage,nm,masculine,marriage,le mariage devait avoir lieu à Paris,the marriage should have taken place in Paris,maʀjaʒ
1211,couleur,nf,feminine,color,le vert était censé être la couleur préférée du Prophète,green is supposed to be the favorite colour of the Prophet,kulœʀ
1212,témoigner,v,,to testify,"je pourrai en témoigner, au besoin, dit-elle","I’ll be able to testify of it, if necessary, she said",temwaɲe
1213,sauver,v,,"to rescue, save",tu m’as sauvé la vie,you saved my life,sove
1214,parlementaire,nadj(f),masc / fem,parliamentary; member of parliament,les parlementaires ont été agacés par les réactions israéliennes,the members of parliament were annoyed by the Israeli reactions,paʀləmɑ͂tɛʀ
1215,conclusion,nf,feminine,conclusion,la conclusion du rapporteur semble raisonnable,the conclusion of the reporter seems reasonable,kɔ͂klyzjɔ͂
1216,bleu,"adj,nm",masculine,blue,le soleil a déchiré le voile bleu de la nuit,the sun tore through the blue veil of the night,blø
1217,dehors,"adv,nm(pl),prep",masculine,outside,dehors il fait froid,it’s cold outside,dəɔʀ
1218,remercier,v,,to thank,je vous remercie de m’avoir sauvé la vie,thank you for saving my life,ʀ(ə)mɛʀsje
1219,actif,nadj,masculine,active,l’Europe doit donc jouer un rôle actif,Europe must therefore play an active role,aktif
1220,réclamer,v,,"to ask for, call for; to claim",ils ont réclamé leur droit au sens critique,they reserved the right to be critical,ʀeklɑme
1221,habitude,nf,feminine,habit,les gens fonctionnent beaucoup par habitude,people operate a lot through habits,abityd
1222,récemment,adv,,recently,j’ai reçu récemment une lettre,I recently received a letter,ʀesamɑ͂
1223,fil,nm,masculine,"thread, wire",Joseph Glidden fait breveter le fil de fer barbelé,Joseph Glidden is granted a patent for barbed wire,fil
1224,collectif,nadj,masculine,collective,luttons pour nos buts collectifs . . . notre indépendance,"let’s fight for our collective goals, our independance",kɔlɛktif
1225,excellent,adj,,excellent,le café est excellent ici,the coffee’s excellent here,"ɛkselɑ͂, ɑ͂t"
1226,moral,nadj,masculine,"moral, morale",ce dossier implique une question morale,this affair involves an ethical question,"mɔʀal, o"
1227,accident,nm,masculine,accident,elle est morte d’un accident,she died from an accident,aksidɑ͂
1228,code,nm,masculine,code,composez votre code secret,punch in your secret code,kɔd
1229,puissant,nadj,,powerful,"son effet est très puissant, ça calme et ça soigne","its effect is very powerful, calming and soothing","pɥisɑ͂, ɑ͂t"
1230,recueillir,v,,"to collect, gather",il a été recueilli par des montagnards,he was picked up by mountain dwellers,ʀ(ə)kœjiʀ
1231,fabriquer,v,,"to manufacture, invent, make",mon métier consiste à fabriquer des livres,my job involves manufacturing books,fabʀike
1232,représentant,nm,masculine,representative,nous rencontrerons les représentants de divers pays,we will meet representatives from various countries,"ʀ(ə)pʀezɑ͂tɑ͂, ɑ͂t"
1233,rare,adj(f),,rare,vous collectionnez les billets particulière- ment rares,you collect particularly rare bills,ʀɑʀ
1234,extraordinaire,adj(f),,extraordinary,c’est un homme au talent extraordinaire,he’s a man with an extraordinary talent,ɛkstʀaɔʀdinɛʀ
1235,dimanche,nm,masculine,Sunday,de fortes pluies sont annoncées pour dimanche,heavy rains are forecast for Sunday,dimɑ͂ʃ
1236,vérifier,v,,"to check, verify","appelle ton contrôleur, vérifie","call your inspector, double-check",veʀifje
1237,envie,nf,feminine,envy,elle n’avait envie de parler de rien,she didn’t want to talk about anything,ɑ͂vi
1238,enregistrer,v,,"to record, check in",le fonds de l’assurance-emploi enregistre un surplus,unemployment insurance funds have recorded a surplus,ɑ͂ʀ(ə)ʒistʀe
1239,moderne,nadj(f),,modern,on va utiliser un système plus moderne,we’re going to use a more modern system,mɔdɛʀn
1240,parc,nm,masculine,park,Disney va créer un parc à thèmes à Hong Kong,Disney will create a theme park in Hong Kong,paʀk
1241,impôt,nm,masculine,tax,"ils travaillent, ils payent des impôts","they work, they pay taxes",ɛ͂po
1242,sud,"adji,nm",masculine,south,va faire une tentative au pôle sud,go try to reach the south pole,syd
1243,efficace,adj(f),,"efficient, effective",mon équipe est compacte et efficace,my team is small and efficient,efikas
1244,intéressant,adj,,interesting,"moi, je vous trouve intéressante","me, I find you interesting","ɛ͂teʀesɑ͂, ɑ͂t"
1245,île,nf,feminine,island,c’est une île qui ne peut être trouvée,it’s an island that no one can find,il
1246,cité,nf,feminine,city,la cité était gouvernée par les poètes et les philosophes,the city was ruled by poets and philosophers,site
1247,carrière,nf,feminine,career,je vous souhaite une longue carrière à ce poste,I wish you a long career in this position,kaʀjɛʀ
1248,voter,v,,to vote,nous serions encore à voter ce soir,we would still be here tonight voting,vɔte
1249,traité,nm,masculine,treaty,il s’agit d’élaborer des traités internationaux,it involves setting up international treaties,tʀete
1250,libération,nf,feminine,liberation,nous exigeons la libération de nos cama- rades,we demand the release of our comrades,libeʀasjɔ͂
1251,nourrir,v,,"to feed, nourish",l’inégalité nourrit l’injustice,inequality feeds injustice,nuʀiʀ
1252,sérieusement,adv,,seriously,il aurait mieux fait d’étudier sérieusement,it would have been better for him to have studied seriously,seʀjøzmɑ͂
1253,bras,nm(pl),masculine,arm,venez dans mes bras,come to my arms,bʀa
1254,immédiat,nadj,,immediate,je n’ai plus de mémoire immédiate,I have no more short-term memory,imedja
1255,exceptionnel,nadj,,exceptional,le plan d’action est exceptionnel,the plan of attack is exceptional,ɛksɛpsjɔnɛl
1256,rechercher,v,,to search for,des dirigeants africains recherchent un solution à la crise,African leaders are seeking a solution to the crisis,ʀ(ə)ʃɛʀʃe
1257,palestinien,nm,masculine,Palestinian,les mères palestiniennes veulent que leurs enfants grandissent dans la paix,Palestinian mothers want their children to grow up in peace,"palɛstinjɛ͂, jɛn"
1258,lendemain,nm,masculine,next day,je devais repartir le lendemain,I had to leave the next day,lɑ͂dmɛ͂
1259,producteur,nadj,masculine,producer,les producteurs sont souvent aussi les consommateurs,producers are also often consumers,"pʀɔdyktœʀ, -tʀis"
1260,garantir,v,,to guarantee,il faut garantir la sécurité du personnel,we have to guarantee the safety of the staff,gaʀɑ͂tiʀ
1261,geste,nm,masculine,gesture,je fais ces gestes tout en marchant,I make these gestures while walking,ʒɛst
1262,roman,"adj,nm",masculine,novel,"j’avais lu des romans, en prose et en vers","I had read novels, in prose and in verse",ʀɔmɑ͂
1263,augmentation,nf,feminine,"increase, rise",cela constitue une augmentation de 25 p. 100,this represents an increase of 25%,ɔgmɑ͂tasjɔ͂
1264,facteur,nm,masculine,"postman, mailman; factor",le facteur apportait enfin de gros paquets,the mailman finally brought large packages,faktœʀ
1265,policier,nadj,masculine,policeman,tous les policiers doivent se présenter à leur sergent,all the policemen must present themselves to their sergeant,pɔlisje
1266,échelle,nf,feminine,"ladder, scale",cette guerre peut être menée à grande échelle,this war could be waged on a large scale,eʃɛl
1267,supplémentaire,adj(f),,additional,voilà un exemple supplémentaire,here’s an additional example,syplemɑ͂tɛʀ
1268,pratiquer,v,,to practice,ils pratiquent vraiment le football que j’aime,they play the kind of football that I really enjoy,pʀatike
1269,pensée,nf,feminine,thought,il me poursuit dans mes pensées,he chases me in my thoughts,pɑ͂se
1270,extrême,nadj(f),masculine,extreme,nous allons affronter un péril extrême,we’re going to face extreme peril,ɛkstʀɛm
1271,néanmoins,"adv,conj",,nevertheless,avez-vous néanmoins un code de discipline à respecter?,"still, don’t you have a code of conduct to follow?",neɑ͂mwɛ͂
1272,bénéficier,"nm,v",,to benefit,il devient donc impératif de pouvoir bénéficier de plus d’argent,we must be able to benefit from more money,benefisje
1273,vingt,"det,nmi",masculine,twenty,"elle inventait dix, vingt, cent prétextes","she dreamed up ten, twenty, a hundred excuses",vɛ͂
1274,revoir,v,masculine,"to see again, revise",je disparaîtrai. tu ne me reverras jamais,I will disappear. you will never see me again,ʀ(ə)vwaʀ
1275,perspective,nf,feminine,"perspective, viewpoint",je me place dans la perspective de mes personnages,I place myself in the perspective of my characters,pɛʀspɛktiv
1276,défaut,nm,masculine,"fault, flaw, shortcoming",on peut parler de mes défauts si tu veux,we can talk about my shortcomings if you want,defo
1277,précieux,nadj(pl),,precious,ta vie m’est aussi précieuse que celle de ma femme,your life is as precious to me as my wife’s,"pʀesjø, -jøz"
1278,retard,nm,masculine,delay,"viens, on va être en retard","come, we’re going to be late",ʀ(ə)taʀ
1279,démocratie,nf,feminine,democracy,nous avons choisi la démocratie comme mode de vie,we have chosen democracy for a way of life,demɔkʀasi
1280,renforcer,v,,"to reinforce, strengthen",j’œuvrerai pour renforcer nos forces armées,I will work to reinforce our armed forces,ʀɑ͂fɔʀse
1281,silence,nm,masculine,silence,ils regardèrent en silence les arbres du petit jardin,in silence they watched the trees in the little garden,silɑ͂s
1282,troupe,nf,feminine,"troup, troop",il faut remonter le moral des troupes,the morale of the troops must be boosted again,tʀup
1283,qualifier,v,,to qualify,on doit se qualifier pour le tournoi,we have to qualify for the tournament,kalifje
1284,absolu,nadj,masculine,absolute,la mort est un fait absolu,death is an absolute fact,apsɔly
1285,dégager,v,,"to free, clear",la route est dégagée ... mais il faut mettre vos chaînes,the road is clear ... but you must use chains,degaʒe
1286,stratégie,nf,feminine,strategy,nous espérons voir une stratégie intégrée,we hope to see an integrated strategy,stʀateʒi
1287,bateau,nm,masculine,"boat, ship",un seul bateau de pêche a survécu à la tourmente,only one fishing boat survived the tempest,bato
1288,printemps,nm(pl),masculine,spring,c’est une splendide matinée de printemps,it’s a splendid spring morning,pʀɛ͂tɑ͂
1289,course,nf,feminine,"race, shopping","je viens faire des courses, alors je me suis arrêtée ici","I came shopping, and then I stopped here",kuʀs
1290,exercice,nm,masculine,"exercise,",j’ai fait un exercice avec nos collègues de la presse,I carried out an exercise with our colleagues in the press,ɛgzɛʀsis
1291,fondamental,adj,,fundamental,je fais une distinction fondamentale,I’m making a fundamental distinction,"fɔ͂damɑ͂tal, o"
1292,visage,nm,masculine,face,ils avaient de beaux visages tranquilles et las,"they had beautiful, peaceful, weary faces",vizaʒ
1293,droite,nf,feminine,right,elle tourna la tête à droite,she turned her head to the right,dʀwat
1294,machine,nf,feminine,machine,il faut arrêter la machine avant de la réparer,you must stop the machine before repairing it,maʃin
1295,village,nm,masculine,village,des dizaines de villages ont été rayés de la carte,tens of villages were wiped off the map,vilaʒ
1296,britannique,nadj(f),masc / fem,British,nous nous inspirons de la tradition britannique,we draw our inspiration from the British,bʀitanik
1297,surveiller,v,,to watch,"je vais te surveiller, je sais où tu habites","I’m going to watch you, I know where you live",syʀveje
1298,édition,nf,feminine,"publishing, editing, edition",c’est la fin de cette première édition d’informations,that is the end of this early edition of the news,edisjɔ͂
1299,organisme,nm,masculine,organism,c’est un organisme qui est mi-figue mi-raisin,it’s an organism that’s half fig and half grape,ɔʀganism
1300,leçon,nf,feminine,lesson,je reçois ma leçon d’armes à six heures,I get my weapons lesson at six o’clock,l(ə)sɔ͂
1301,accomplir,v,,to accomplish,"il vous faut continuer, accomplir votre destinée","you have to continue, to acomplish your destiny",akɔ͂pliʀ
1302,décevoir,v,,to disappoint,désolé de t’avoir déçue,sorry for having disappointed you,des(ə)vwaʀ
1303,bataille,nf,feminine,battle,on obéit à tes ordres et la bataille est gagnée,we obey your orders and the battle is won,bataj
1304,port,nm,masculine,"harbour, port",le dernier bateau quitte le port,the last boat left the port,pɔʀ
1305,naissance,nf,feminine,birth,l’histoire commence avec la naissance d’un enfant étrange,the story begins with the birth of a strange child,nɛsɑ͂s
1306,majeur,nadj,masculine,major,c’est un enjeu économique majeur aujourd’hui,it’s a major economic challenge today,maʒœʀ
1307,froid,nadj,masculine,cold,dehors il fait froid,it’s cold outside,fʀwa
1308,hôpital,nm,masculine,hospital,le garçon est mort à l’hôpital,the boy died at the hospital,"ɔpital, o"
1309,circuit,nm,masculine,circuit,ce circuit doit être libéré selon la procédure normale,this circuit must be discharged according to the normal procedure,siʀkɥi
1310,terrible,adj(f),,"terrible, dreadful",c’était terrible! la situation était terrible,it was terrible! the situation was horrible,teʀibl
1311,degré,nm,masculine,degree,il n’y a pas de degrés dans la sainteté,there are no degrees of holiness,dəgʀe
1312,exigence,nf,feminine,"demand, strictness",c’est une exigence impossible à respecter,it’s a requirement impossible to meet,ɛgziʒɑ͂s
1313,rêve,nm,masculine,dream,on attend maintenant que nos rêves se réalisent,now we’re waiting for the fulfillment of our dreams,ʀɛv
1314,inspirer,v,,to inspire,considérons que les livres ont inspiré le tueur,let’s assume that the books inspired the killer,ɛ͂spiʀe
1315,opérer,v,,"to operate, carry out",les grandes sociétés opèrent à l’échelle mondiale,large companies operate on a global scale,ɔpeʀe
1316,entièrement,adv,,"entirely, completely",je suis entièrement d’accord avec vous,I completely agree with you,ɑ͂tjɛʀmɑ͂
1317,chapitre,nm,masculine,chapter,il reste un chapitre à écrire,one chapter remains to be written,ʃapitʀ
1318,quotidien,nadj,masculine,daily,elles apportent conseils dans les travaux ménagers quotidiens,they provide advice through their daily household chores,kɔtidjɛ͂
1319,clairement,adv,,clearly,le rapport de force est clairement déséquilibré,the threat assessment is clearly skewed,klɛʀmɑ͂
1320,joindre,v,,to join,je serais très heureux si vous vous joigniez à moi pour dîner,I would be delighted if you would join me for supper,ʒwɛ͂dʀ
1321,léger,adj,,light,d’un pas léger elle sortit de la bibliothèque,with airy steps she left the library,"leʒe, -ɛʀ"
1322,permanent,adj,masculine,permanent,ils vivent dans le climat permanent de la violence,they live in a permanent setting of violence,pɛʀmanɑ͂
1323,juge,"nm,nf",masc / fem,judge,il reviendra alors au juge de décider,so it will be up to the judge to decide,ʒyʒ
1324,après-midi,nmi,masc / fem,afternoon,j’ai passé l’après-midi avec des amis,I spent the afternoon with friends,apʀɛmidi
1325,russe,nadj(f),masculine,Russian,la Turquie est une destination privilégiée des touristes russes,Turkey is a privileged destination for Russian tourists,ʀys
1326,juillet,nm,masculine,July,la réunion s’ouvrit le 17 juillet,the meeting began on July 17th,ʒɥijɛ
1327,ordinaire,nadj(f),masculine,ordinary,"je suis un type ordinaire, un vrai type normal","I’m an ordinary guy, a really normal guy",ɔʀdinɛʀ
1328,candidat,nm,masculine,candidate,nous avons un candidat que nous soutenons,we have a candidate who we support,"kɑ͂dida, at"
1329,rapprocher,v,,"to bring closer, get closer",j’ai voulu me rapprocher de toi,I wanted to get closer to you,ʀapʀɔʃe
1330,résistance,nf,feminine,resistance,sa résistance à la sonde mentale est considérable,his resistance to the mental probe is significant,ʀezistɑ͂s
1331,fier,"adj,v",,to rely on; proud,je suis très fière de mon héritage,I’m very proud of my heritage,fje
1332,justement,adv,,"exactly, rightly, precisely",j’étais justement en train de faire du thé,I was just making some tea,ʒystəmɑ͂
1333,habitant,nm,masculine,inhabitant,les 200.000 habitants ont fui,"the 200,000 inhabitants fled","abitɑ͂, ɑ͂t"
1334,formule,nf,feminine,"formula, expression",je garderai toujours cette formule,I will always remember this expression,fɔʀmyl
1335,mur,nm,masculine,wall,il frappe le mur avec son doigt replié,he knocked on the wall with his knuckle,myʀ
1336,tribunal,nm,masculine,court,les tribunaux jouent un rôle essentiel,the courts play an essential role,"tʀibynal, o"
1337,journaliste,"nm,nf",masc / fem,journalist,ce journaliste a la double nationalité française et américaine,this journalist has dual French and American nationality,ʒuʀnalist
1338,manger,"nm,v",masculine,to eat,"avec votre maladie, vous pouvez manger de la viande?","with your illness, can you eat meat?",mɑ͂ʒe
1339,soulever,v,,to lift up,"il sourit, tandis que le vent soulevait ses cheveux","he smiled, the wind tossing his hair",sul(ə)ve
1340,évidemment,adv,,obviously,"en tout cas, évidemment, elles vous connaissent","in any case, they obviously know you",evidamɑ͂
1341,travailleur,nadj,masculine,worker,il y avait huit travailleurs pour un retraité,there were eight workers per retired person,tʀavajœʀ
1342,résolution,nf,feminine,resolution,il est important que nous adoptions cette résolution,it’s important that we adopt this resolution,ʀezɔlysjɔ͂
1343,dirigeant,nadj,masculine,leader,qu’est-il advenu des dirigeants militaires?,what ever happened to the military leaders?,"diʀiʒɑ͂, ʒɑ͂t"
1344,marque,nf,feminine,"brand, mark",il y a des marques sur les portes,there are marks on the doors,maʀk
1345,utilisation,nf,feminine,use,je ne veux pas que l’utilisation des phtalates soit bannie,I don’t want the use of phthalates to be banned,ytilizasjɔ͂
1346,offre,nf,feminine,offer,il n’y avait aucune offre d’emploi,there weren’t any job offers,ɔfʀ
1347,habituel,adj,,"customary, habitual",ils font leur routine habituelle,they do their daily routine,abitɥɛl
1348,survivre,v,,to survive,il ne sait que faire pour survivre,he doesn’t know what to do to survive,syʀvivʀ
1349,populaire,nadj(f),,popular,j’ignorais que vous étiez si populaire!,I didn’t know you were so popular,pɔpylɛʀ
1350,constitution,nf,feminine,constitution,"premièrement, nous devons respecter la constitution","first, we must respect the constitution",kɔ͂stitysjɔ͂
1351,participation,nf,feminine,participation,comment qualifieriez-vous votre participa- tion?,how would you characterize your participation?,paʀtisipasjɔ͂
1352,évolution,nf,feminine,evolution,la rapidité de cette évolution n’est pas surprenante,the swiftness of this evolution is not surprising,evɔlysjɔ͂
1353,totalement,adv,,totally,les tribunaux russes sont totalement engorgés,the Russian court system is totally swamped,tɔtalmɑ͂
1354,gérer,v,,to manage,nous savons comment gérer l’éducation,we know how to manage education,ʒeʀe
1355,samedi,nm,masculine,Saturday,elle organisera une fête samedi,she will organize a party on Sunday,samdi
1356,informer,v,,to inform,je t’informerai dès qu’ils l’auront repéré,I’ll inform you as soon as they locate him,ɛ͂fɔʀme
1357,fou,"adj,nm",masculine,"mad, crazy",tu es complètement fou,you are completely crazy,fu
1358,attacher,v,,to attach,attachez vos ceintures. le spectacle commence,fasten your sealtbelts. the show is about to begin,ataʃe
1359,renouveler,v,,to renew,nos synapses ne se renouvellent plus passé 20 ans,our synapses don’t regenerate after the age of 20 years,ʀ(ə)nuv(ə)le
1360,asseoir,v,,to sit,il était assis devant moi,he was seated in front of me,aswaʀ
1361,oh,intj,,oh,au secours! oh non!,help! oh no!,o
1362,transfert,nm,masculine,transfer,le transfert aura lieu sous deux semaines,the transfer will take place in two weeks,tʀɑ͂sfɛʀ
1363,renoncer,v,,"to give up, renounce",elle avait renoncé à me convaincre,she gave up trying to convince me,ʀ(ə)nɔ͂se
1364,roi,nm,masculine,king,"une nuit, le roi lui apparut en rêve","one night, the king appeared to him in a dream",ʀwa
1365,soi,"nmi,pro",,"one, oneself, self","il s’agissait enfin d’être soi, rien que soi","in the end it was all about being oneself, nothing but oneself",swa
1366,téléphone,nm,masculine,telephone,les téléphones ne marchent pas,the telephones don’t work,telefɔn
1367,net,"adj,nm",masculine,clear; Internet,les Canadiens veulent des réponses bien nettes,the Canadians want very clear answers,nɛt
1368,foi,nf,feminine,faith,tu as la foi . . . nous avons tous besoin de foi,you have faith . . . we all need faith,fwa
1369,motif,nm,masculine,"motive, purpose",je ne voyais aucun motif de refus,I didn’t see any reason for refusal,mɔtif
1370,plaindre,v,,"to pity, feel sorry for, complain",elle ne se plaignait pas; mais elle détestait faire le ménage,"she didn’t complain, but she detested housework",plɛ͂dʀ
1371,tradition,nf,feminine,tradition,il faut s’enraciner dans ses traditions,you have to be rooted in your traditions,tʀadisjɔ͂
1372,institut,nm,masculine,institute,"à l’institut, j’ai été formée à l’orthophonie",at the institute I majored in speech therapy,ɛ͂stity
1373,victoire,nf,feminine,victory,"beau match. enfin, une victoire","nice game. finally, a victory",viktwaʀ
1374,arrêt,nm,masculine,stop,l’arrêt cardiaque est un état de mort apparente,a heart attack is a state of apparent death,aʀɛ
1375,concours,nm(pl),masculine,"entrance exam, competition",vous avez gagné le concours?,did you win the competition?,kɔ͂kuʀ
1376,vis-à-vis,"nmpl,prep",masculine,"face to face, regarding",il reprenait sa liberté vis-à-vis de moi,he regained his freedom from me,vizavi
1377,aboutir,v,,"to succeed, end up at",ce projet n’a pourtant pas abouti,"this project didn’t end, however",abutiʀ
1378,visiter,v,,to visit,nous allons visiter la maison,we’re going to visit the house,vizite
1379,elle-même,pro,,"herself, itself",la révolte n’est pas en elle-même un élément de civilisation,rebellion is not by itself an element of civilization,ɛlmɛm
1380,démocratique,adj(f),,democratic,il ne respecte pas le processus démocratique,he doesn’t respect the democratic process,demɔkʀatik
1381,tentative,nf,feminine,attempt,"à la troisième tentative, l’homme part le premier","on the third attempt, the man left first",tɑ͂tativ
1382,largement,adv,,widely,on doit payer largement sa part d’impôt,you should pay the bulk of your taxes,laʀʒəmɑ͂
1383,échouer,v,,to fail,tout ce que j’ai tenté a échoué,everything that I tried to do failed,eʃwe
1384,désirer,v,,to desire,"ce que l’on désire, c’est éviter une surpollution",what we want is to avoid rampant pollution,deziʀe
1385,côte,nf,feminine,coast,on est basés sur la côte ouest,we’re based on the west coast,kot
1386,génération,nf,feminine,generation,une nouvelle génération prend le pouvoir,a new generation takes over,ʒeneʀasjɔ͂
1387,vent,nm,masculine,wind,dans la rue il faisait du vent,it was windy in the street,vɑ͂
1388,technologie,nf,feminine,technology,"en Chine, on utilise cette technologie depuis plus de 20 ans",in China this technology has been used for over 20 years,tɛknɔlɔʒi
1389,inquiéter,v,,"to worry, disturb","et ça, ça m’inquiète un petit peu","and this, this disturbs me a little bit",ɛ͂kjete
1390,dépit,nm,masculine,"spite, heartache",j’ai ressenti un soulagement mêlé de dépit,I felt relief mixed with spite,depi
1391,équilibre,nm,masculine,"balance, equilibrium",j’aperçois une sorte d’équilibre qui peut durer longtemps,I sense a kind of equilibrium that may endure,ekilibʀ
1392,inquiet,nadj,,"worried, anxious",tu as l’air inquiet,you seem anxious,"ɛ͂kjɛ, -ɛt"
1393,obstacle,nm,masculine,obstacle,j’ai surmonté tous les obstacles,I overcame all the obstacles,ɔpstakl
1394,réflexion,nf,feminine,reflection,elle le surprend en pleine réflexion,she surprised him as he was deep in thought,ʀeflɛksjɔ͂
1395,uniquement,adv,,only,il a survécu uniquement avec la diète anticancéreuse,he only survived via the anti-cancer diet,ynikmɑ͂
1396,affecter,v,,to affect,elles n’ont pas été affectées par l’accident,they weren’t affected by the accident,afɛkte
1397,revanche,nf,feminine,revenge; return,"elle, en revanche, m’inspecta avec désinvolture","she, in return, inspected me with detachment",ʀ(ə)vɑ͂ʃ
1398,ressembler,v,,"to look like, resemble",celle-là ressemble à une intellectuel new-yorkaise,that one looks like she’s a New York intellectual,ʀ(ə)sɑ͂ble
1399,station,nf,feminine,station,il a traîné dans la station toute la journée,he lingered in the station all day,stasjɔ͂
1400,supporter,"nm,v",masculine,"to support, endure","des fois, je ne supporte pas la vie quotidienne",sometimes I can’t stand daily life,sypɔʀte
1401,privé,nadj,masculine,private,c’est une fête privée ... vous ne pouvez pas venir,it’s a private party ... you can’t come,pʀive
1402,catégorie,nf,feminine,category,les autres catégories de l’entreprise sont concernées par cette démarche,the other kinds of companies are worried about this process,kategɔʀi
1403,mine,nf,feminine,"mine; appearance, look, mien",je haussai les épaules et fis mine de rire,I shrugged my shoulders and feigned laughing,min
1404,législatif,nadj,,legislative,"en 1978, la gauche échoue aux législatives","in 1978, the left lost in the legislative elections","leʒislatif, -iv"
1405,ah,intj,,"ah, oh",ah oui? tu commences à m’intéresser,oh yeah? you’re starting to interest me,ˊɑ
1406,propriétaire,"nm,nf",masc / fem,owner,vous êtes le propriétaire des lieux?,you’re the owner of this property?,pʀɔpʀijetɛʀ
1407,favoriser,v,,to favor,cela favorise le commerce et l’investisse- ment,this favors trade and investment,favɔʀize
1408,priorité,nf,feminine,priority,il faut maintenant donner la priorité aux enfants,now we must give priority to the children,pʀijɔʀite
1409,avion,nm,masculine,plane,"en voiture, en avion, j’aime le mouvement","in a car, in an airplane, I like motion",avjɔ͂
1410,minimum,nadj,masculine,minimum,nos fabricants exigent un délai minimum de 6 semaines,our manufacturers require at least 6 weeks’notice,"minimɔm, minima"
1411,criminel,nadj,masculine,criminal,l’incendie peut être d’origine criminelle,the fire might have a criminal origin,kʀiminɛl
1412,photo,nf,feminine,photo,je peux voir la photo?,can I see the photo?,fɔto
1413,précéder,v,,to precede,"la métaphysique ne doit pas précéder la physique, elle doit la suivre","metaphysics shouldn’t precede physics, it should follow it",pʀesede
1414,solide,nadj(f),masculine,solid,nous avons une base solide sur laquelle bâtir,we have a solid foundation on which to build,sɔlid
1415,correspondre,v,,to correspond,j’espère que nous correspondrons,I hope we’ll keep in touch,kɔʀɛspɔ͂dʀ
1416,navire,nm,masculine,ship,je suis comme le capitaine d’un navire,I’m like the captain of a ship,naviʀ
1417,centaine,nf,feminine,hundred,la pétition est signée par plusieurs centaines de résidents,the petition was signed by hundreds of residents,sɑ͂tɛn
1418,explication,nf,feminine,explanation,il doit y avoir une explication rationnelle,there must be a rational explanation,ɛksplikasjɔ͂
1419,transmettre,v,,"to forward, transmit",voilà comment se transmettre les maladies!,that’s how to transmit illnesses!,tʀɑ͂smɛtʀ
1420,appareil,nm,masculine,"apparatus, device",place la bobine vierge sur l’appareil,place the empty reel on the machine,apaʀɛj
1421,publication,nf,feminine,publication,vous pouvez parler de vos publications?,can you talk about your publications?,pyblikasjɔ͂
1422,associer,v,,to associate,le tabagisme n’était pas directement associé au cancer,smoking was not directly associated with cancer,asɔsje
1423,trait,nm,masculine,"line, feature","mon trait est très fin, comme des cheveux","I have very fine features, like hair",tʀɛ
1424,référence,nf,feminine,reference,je n’ai pas compris sa référence aux oiseaux,I didn’t understand his reference to the birds,ʀefeʀɑ͂s
1425,bois,nm(pl),masculine,wood,tu attendras dans les bois que la nuit tombe,you will wait in the woods until nightfall,bwɑ
1426,identifier,v,,to identify,pouvez-vous identifier cet homme?,can you identify this man?,idɑ͂tifje
1427,symbole,nm,masculine,symbol,je peux déchiffrer les symboles,I can decipher the symbols,sɛ͂bɔl
1428,consommation,nf,feminine,consumption,cela aura un impact sur la consommation,this will have an impact on consumption,kɔ͂sɔmasjɔ͂
1429,idéal,nadj,masculine,ideal,j’ai eu une enfance idéale,I had an ideal childhood,"ideal, o"
1430,chômage,nm,masculine,unemployment,le chômage chez les jeunes est devenu un grave problème,unemployment among the youth has become a serious problem,ʃomaʒ
1431,courage,nm,masculine,courage,j’en ai pas le courage. je suis fatiguée,I don’t have the courage. I’m tired,kuʀaʒ
1432,reconnaissance,nf,feminine,"recognition, gratitude",les fêtes musulmanes n’avaient aucune reconnaissance officielle,Moslem holidays weren’t officially recognized at all,ʀ(ə)kɔnɛsɑ͂s
